address_primary,city,zip,address_full,Xfinity Test,Spectrum Test,Google Fiber Test,status
241 N 18th St,Kansas City,66102,"241 N 18th St Kansas City, KS 66102",No Service,Has Account,Service Available,done
801 S Harrison St,Olathe,66061,"801 S Harrison St Olathe, Apt 111, KS 66061",Service Available (MDU),No Service,Service Available (MDU),done
140 N 134th St,Bonner Springs,66012,"140 N 134th St Bonner Springs, KS 66012",No Service,Service Available,No Service,done
326 S Chestnut St,Olathe,66061,"326 S Chestnut St Olathe, KS 66061",Has Account,No Service,Service Available,done
6928 Paseo,Kansas City,64132,"6928 Paseo Kansas City, MO 64132",No Service,Service Available,Service Available,done
2221 S 18th St,Kansas City,66106,"2221 S 18th St Kansas City, KS 66106",No Service,Service Available,Has Account,done
251 N 18th St,Kansas City,66102,"251 N 18th St Kansas City, Apt 1, KS 66102",No Service,Service Available (MDU),No Service,done
6305 Ralston Ave,Kansas City,64133,"6305 Ralston Ave Kansas City, MO 64133",Has Account,No Service,Service Available,done
326 S Chestnut St,Olathe,66061,"326 S Chestnut St Olathe, KS 66061",Has Account,No Service,Service Available,done
9919 NE Vrooman Dr,Kansas City,64161,"9919 NE Vrooman Dr Kansas City, MO 64161",No Service,Unknown,No Service,done
608 S Stevenson St,Olathe,66061,"608 S Stevenson St Olathe, KS 66061",Service Available,No Service,Has Account,done
